name;type;investment;plant_capacity;learning_factor;construction_time;operating_time;loadfactor_lower;loadfactor_upper;operating_cost_fix;operating_cost_variable;operating_cost_fuel;reference_pj_investment;reference_pj_capacity
BWRX-300;BWR;2565000;300;0.1;3;60;0.75;0.85;144364.8;2.87616;30.44221341;8758000;950
UK-SMR;PWR;5946167.946;443;0.1;3;60;0.75;0.85;146644.7838;2.87616;6.238288;9965000;1117
SMR-160;PWR;6312500;160;0.1;3;80;0.75;0.85;146644.7838;2.87616;6.238288;9965000;1117
SMART;PWR;4000000;107;0.1;3;60;0.75;0.85;65024.604;2.87616;5.3192;9965000;1117
Nuscale;PWR;3951240;77;0.1;3;60;0.75;0.85;179594.5313;3.1350144;7.157376;9965000;1117
RITM 200M;PWR;4212000;53;0.1;3;60;0.75;0.85;170980;2.87616;6.238288;9965000;1117
ACPR 50S;PWR;8532000;40;0.1;3;40;0.75;0.85;146644.7838;2.87616;6.238288;9965000;1117
KLT-40S;PWR;13531428.57;35;0.1;3;40;0.75;0.85;170980;2.87616;6.238288;9965000;1117
CAREM;PWR;23187500;30;0.1;3;40;0.75;0.85;146644.7838;2.87616;6.238288;9965000;1117
EM2;HTR/GFR;4373300;265;0.1;3;60;0.75;0.85;104340;2.87616;19.29223744;6816000;330
HTR-PM;HTR ;2756000;210;0.1;3;40;0.75;0.85;168920;2.87616;13.96581872;6816000;330
PBMR-400;HTGR;1550000;165;0.1;3;40;0.75;0.85;136630;2.87616;8.6394;6816000;330
ARC-100;SFR;5757000;100;0.1;3;60;0.75;0.85;149055;3.2788224;78.04362952;27747000;1250
CEFR;SFR;23034536.19;20;0.1;3;30;0.75;0.85;149055;2.87616;113.0561483;27747000;1250
4S;SFR;2500000;10;0.1;3;60;0.75;0.85;149055;2.87616;23.8625;27747000;1250
